Customer ID,Brand,Product Description,Quantity
CUST5271,Aero Wood Round Dining Table,50'' Bistro Table,1
CUST5271,Nicola Track Vegan Leather Dining Side Chair,Dining Chair,4
CUST5271,Byron Canopy Bed,Cal King Bed 102'',1
CUST5271,Noemi Torchiere Floor Lamp,Burnished Brass,1
CUST5271,Maxwell Leather Right-Arm Bench-Seat L-Sectional,Luxe 108'' Sectional,1
CUST5271,Kyoto Closed Nightstand,26'' Nightstand,2
CUST5271,Maxwell Leather Sofa,Luxe 7' Sofa,1
CUST5981,Reclaimed Oak Reeded Round Dining Table,72'' Table,1
CUST5981,Nicola Track Vegan Leather Dining Side Chair,Dining Chair,8
CUST5981,Orizaba Rectangular Fire Table,56'' W Fire Table,2
CUST5981,Mycena Obelisk Stone Table Lamp,19'' Lamp,1
CUST5981,Arno Fabric Bar & Counter Stool,Counter Stool 36 1/4'' H,3
CUST5981,Ligné Panel Bed with Footboard,Cal King Bed,1
CUST5981,Byron Canopy Bed,Cal King Bed 102'',3
CUST5981,Maxwell Leather Sofa,Classic 6' Sofa,1
CUST5981,Noemi Torchiere Floor Lamp,Burnished Brass,3
CUST5981,Mycena Obelisk Stone Table Lamp,24'' Lamp,1
CUST5981,Maxwell Leather Sofa,Luxe 9' Sofa,1
CUST5981,Kyoto Closed Nightstand,22'' Nightstand,3
CUST5981,Arno Fabric Bar & Counter Stool,Barstool 40 1/4'' H,1
CUST5981,Maxwell Leather Right-Arm Bench-Seat L-Sectional,Classic 96'' Sectional,2
CUST5981,Byron Canopy Bed,King Bed 90'',1
CUST5981,Kyoto Closed Nightstand,26'' Nightstand,2
CUST5981,Melbourne Bar Cabinet,Bar Cabinet,1
CUST8391,Aero Wood Round Dining Table,36'' Bistro Table,1
CUST8391,Nicola Track Vegan Leather Dining Side Chair,Dining Chair,4
CUST8391,Aero Wood Round Dining Table,42'' Bistro Table,1
CUST8391,Nicola Track Vegan Leather Dining Side Chair,Dining Chair,4
CUST8391,Arno Vegan Leather Dining Side Chair,Dining Side Chair,2
CUST8391,Mycena Obelisk Stone Table Lamp,19'' Lamp,1
CUST8391,Maxwell Leather Right-Arm Bench-Seat L-Sectional,Classic 96'' Sectional,2
CUST8391,Byron Canopy Bed,Cal King Bed 102'',1
CUST8391,Ligné Panel Bed with Footboard,Cal King Bed,1
CUST8391,Maxwell Leather Sofa,Classic 8' Sofa,1
CUST8391,Aurelie Fabric Dining Side Chair,Dining Side Chair,2
CUST8286,Byron Emperador Dining Table,72'' Dining Table,1
CUST8286,Arno Fabric Dining Armchair,Dining Chair,4
CUST8286,Maxwell Leather Right-Arm Bench-Seat L-Sectional,Luxe 12'' Sectional,3
CUST8286,Kyoto Closed Nightstand,32'' Nightstand,2
CUST8286,Maxwell Leather Sofa,Luxe 7' Sofa,1
CUST8286,Kyoto Closed Nightstand,18'' Nightstand,2
CUST8286,Byron Canopy Bed,Cal King Bed 90'',1
CUST8286,Arno Fabric Bar & Counter Stool,Barstool 40 1/4'' H,3
CUST8286,Orizaba Rectangular Fire Table,56'' W Fire Table,1
CUST8286,Nicola Track Vegan Leather Dining Side Chair,Dining Side Chair,2
CUST8286,Maxwell Leather Right-Arm Bench-Seat L-Sectional,Classic 96'' Sectional,1
CUST8286,Mycena Obelisk Stone Table Lamp,24'' Lamp,3
CUST8286,Ligné Panel Bed with Footboard,Cal King Bed,1
CUST8286,Byron Canopy Bed,King Bed 90'',1
CUST8286,Maxwell Leather Sofa,Classic 8' Sofa,1
CUST8286,Aurelie Fabric Dining Side Chair,Dining Side Chair,2
CUST8286,Kyoto Closed Nightstand,22'' Nightstand,1
CUST3051,Aero Wood Round Dining Table,50'' Bistro Table,1
CUST3051,Nicola Track Vegan Leather Dining Side Chair,Dining Chair,4
CUST3051,Reclaimed Oak Reeded Round Dining Table,72'' Table,1
CUST3051,Nicola Track Vegan Leather Dining Side Chair,Dining Chair,8
CUST3051,Byron Emperador Dining Table,84'' Dining Table,1
